Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Sampletype,Method.of.detection,Gene,Pathogen,Hosts.studied,Host.positive,Infection.prevalence.host,Ecotype.AP,Sequencing,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AF,Same.reference,Multiple.species,Notes,Birds
0070,"Di Domenico et al., 2016",Abruzzo region ,Italy,No,NA,August 2011 - September 2014,Red deer,Cervus elaphus,Mammal,Found dead (of which 80% road kill),Spleen,real-time PCR,msp2,A. phagocytophilum,12,9,0.75,No,Yes,Yes,"95% CI: 46,2-90,9%",No,NA,No,,No birds
0071,"Di Domenico et al., 2016",Abruzzo region ,Italy,No,NA,August 2011 - September 2014,Fallow deer,Dama dama,Mammal,Found dead (of which 80% road kill),Spleen,real-time PCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0072,"Di Domenico et al., 2016",Abruzzo region ,Italy,No,NA,August 2011 - September 2014,European mouflon,Ovis orientalis musimon,Mammal,Found dead (of which 80% road kill),Spleen,real-time PCR,msp2,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0073,"Di Domenico et al., 2016",Abruzzo region ,Italy,No,NA,August 2011 - September 2014,Pyrenean chamois,Rupicapra pyrenaica  ,Mammal,Found dead (of which 80% road kill),Spleen,real-time PCR,msp2,A. phagocytophilum,9,6,0.67,No,Yes,Yes,"95% CI: 34,7-87,8%",No,NA,No,,No birds
0074,"Dugat et al., 2016","Ouzouer-sur-Loire, 45570; Coulmiers, 45130; Sully-sur-Loire, 45600; Chuelles, 45220; Le Moulinet-sur-Solin, 45290 ; Sandillon, 45640; Lorris, 45260; Guigneville, 45300; La Ferté-Saint-Aubin, 45240; Saint-Brisson, 58230; Bonny-sur-Loire, 45420 and Manchecourt, 45300",France,No,NA,2010-2015,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,qPCR,msp2,A. phagocytophilum,21,20,0.95,No,No,Yes,"95% CI: 81,2-100%",No,NA,No,,No birds
0075,"Dugat et al., 2016","Sully-sur-Loire, 45600; Le Moulinet-sur-Solin, 45290 ; Lorris, 45260; Saint-Firmin-sur-Loire, 45360; Ouzouer-sur-Loire, 45570; Saint-Martin-d'Abbat, 45110; Bouzy, 51150; Lailly-en-Val, 45740; Les Bordes, 45460; La Ferté-Saint-Aubin, 45240 and Saint-Brisson, 58230",France,No,NA,2010-2015,Red deer,Cervus elaphus,Mammal,Hunting,Spleen,qPCR,msp2,A. phagocytophilum,49,48,0.98,No,No,Yes,"95% CI: 89,2-100%",No,NA,No,,No birds
0076,"Dugat et al., 2016","Sandillon, 45640, France",France,No,NA,2011,Coypu,Myocastor coypus,Mammal,Hunting,Spleen,qPCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0077,"Dugat et al., 2016","Ménestreau-en-Villette, 45240; Les Bordes, 45460; Ligny-le-Ribault, 45240; Paucourt, 45200; Sandillon, 45640; Bouzy, 51150; Lailly-en-Val, 45740 and Ouzouer-sur-Loire, 45570",France,No,NA,2009-2015,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,qPCR,msp2,A. phagocytophilum,29,13,0.45,No,No,Yes,"95% CI: 26,7-62,9%",No,NA,No,,No birds
0078,"Dugat et al., 2016","Ménestreau-en-Villette, 45240, France",France,No,NA,2010,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen,qPCR,msp2,A. phagocytophilum,1,1,1.00,No,No,No,NA,No,NA,No,,No birds
0079,"Dumitrache et al., 2015",Romania,Romania,No,NA,October 2011 - May 2015,Red fox,Vulpes vulpes,Mammal,Hunting,Heart,PCR,16S rRNA and ankA,A. phagocytophilum,353,9,0.03,No,Yes,Yes,"95% CI: 1,25-4,96%",No,NA,No,,No birds
0080,"Dziegiel et al., 2015",Bialowieza Primeval Forest,Poland,No,NA,2009-2014,European Bison,Bison bonasus,Mammal,Hunting,Blood,PCR,16S rRNA,A. phagocytophilum,120,22,0.18,No,Yes,No,NA,No,NA,No,,No birds
0081,"Ebani et al., 2007",Central Italy,Italy,No,NA,Autumn 2004 to spring 2005,Fallow deer,Dama dama,Mammal,Scientific capturing,Blood,nested PCR,16S rDNA,A. phagocytophilum,29,21,0.72,No,No,No,NA,No,NA,No,,No birds
0082,"Ebani et al., 2011","Province of Pisa (43° N, 10–11° E)",Italy,No,NA,Autumn 2007 to spring 2008,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen,PCR,16S rRNA,A. phagocytophilum,150,25,0.17,No,Yes,No,NA,No,NA,No,,No birds
0083,"Ebani et al., 2016a",North eastern Pistoia province,Italy,No,NA,January 1st - February 28th 2015,Red deer,Cervus elaphus,Mammal,Hunting,Blood,PCR,16S rRNA,A. phagocytophilum,60,24,0.40,No,No,No,NA,No,NA,No,,No birds
0084,"Ebani et al., 2016b",Urban areas of Tuscany,Italy,No,Urban,2011-2013,Feral pigeon,Columba livia domestica,Bird,Found dead  ,Spleen,nested PCR,16S rRNA,A. phagocytophilum,84,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0085,"Ebani et al., 2017a","Province of Pisa (43° N, 10–11° E)",Italy,No,NA,January 2014 - July 2016,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen,NA,NA,A. phagocytophilum,153,1,0.01,No,Yes,Yes,"95% CI: 0,02-3,59%",No,NA,No,,No birds
0086,"Ebani et al., 2017b",Tuscany,Italy,No,Forested areas,Hunting seasons between November 2013-December 2014 and November 2014-December 2015,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,PCR,16S rRNA,A. phagocytophilum,100,1,0.01,No,No,No ,NA,No,NA,No,,No birds
0087,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,Gray wolf,Canis lupus,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0088,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,February-June (year unknown),European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,105,64,0.61,No,Yes,No,NA,No,NA,No,,No birds
0089,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,November-February (year unknown),Red deer,Cervus elaphus,Mammal,Hunting,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,26,21,0.81,No,Yes,No,NA,No,NA,No,,No birds
0090,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,Fallow deer,Dama dama,Mammal,Hunting,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,6,3,0.50,No,Yes,No,NA,No,NA,No,,No birds
0091,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,Wild cat,Felis silvestris,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,8,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0092,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,Common genet,Genetta genetta,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,14,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0093,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,Eurasian otter,Lutra lutra,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0094,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,Beech marten,Martes foina,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,22,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0095,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,European pine marten,Martes martes,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,14,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0096,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,European badger,Meles meles,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,130,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0097,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,Ermine,Mustela erminea,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0098,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,Least weasel,Mustela nivalis,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0099,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,European polecat,Mustela putorius,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0100,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,American mink,Neovison vison,Mammal,Found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0101,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,November-February (year unknown),Wild boar,Sus scrofa,Mammal,Hunting,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,227,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0102,"Garcia-Perez et al., 2016",The Basque Country and Asturias,Spain,No,NA,NA,Red fox,Vulpes vulpes,Mammal,Hunted and found dead,Spleen,real-time PCR and multiplex PCR assay,16S rRNA and msp2,A. phagocytophilum,54,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0103,"Granquist et al., 2014",Ombo,Norway,No,NA,Autumn 2008,Red deer,Cervus elaphus,Mammal,Hunting,"Blood, liver and lung",real-time PCR,msp2,A. phagocytophilum,12,9,0.75,No,No,No,NA,No,NA,No,"Blood was collected from 8 animals, liver from 3 animals and lung from 1 animal. Infection only given for all animals total",No birds
0104,"Grzeszczuk et al., 2004",Bialowieza Forest,Poland,No,NA,March 2003,European Bison,Bison bonasus,Mammal,Hunting,Blood,nested PCR,16S rRNA,A. phagocytophilum,8,5,0.63,No,No,No,NA,No,NA,No,Animals were selected for shooting based on being weaker and less developed animals. Paper in Polish.,No birds
0105,"Grzeszczuk et al., 2006",Bialowieza,Poland,No,NA,One week in September 2004,Root vole,Microtus oeconomus,Mammal,Scientific capturing,Blood,nested PCR,16S rRNA,A. phagocytophilum,30,2,0.07,No,Yes,No,NA,T ,"Grzeszczuk et al., (2006)",No,,No birds
0106,"Haertwig et al., 2014",Brandenburg,Germany,No,NA,January - September 2009,Raccoon dog,Nyctereutes procyonoides,Mammal,Hunted or found dead,Lung and spleen,real-time PCR,msp2,A. phagocytophilum,13,3,0.23,No,Yes,Yes,"95% CI: 6,2-50,8%",No,NA,No,,No birds
0107,"Haertwig et al., 2014",Brandenburg,Germany,No,NA,January - September 2009,Red fox,Vulpes vulpes,Mammal,Hunted or found dead,Lung and spleen,real-time PCR,msp2,A. phagocytophilum,122,10,0.08,No,Yes,Yes,"95% CI: 4,2-14,1%",No,NA,No,,No birds
0108,"Hapunik et al., 2011","Białowieża Primeval Forest (N52°29’–52°57’, E23°31’–24°21’); Strzałowo (N53°46’, E21°27’); Mazurian Lakeland – Mikołajki (N53°48’, E21°34’)",Poland,No,NA,2004–2008,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,PCR,16S rRNA,A. phagocytophilum,29,11,0.38,No,Yes,No,NA,No,NA,No,,No birds
0109,"Hapunik et al., 2011","Strzałowo (N53°46’, E21°27’); Mazurian Lakeland – Mikołajki (N53°48’, E21°34’)",Poland,No,NA,2004–2008,Red deer,Cervus elaphus,Mammal,Hunting,Blood,PCR,16S rRNA,A. phagocytophilum,48,28,0.58,No,Yes,No,NA,No,NA,No,,No birds
0110,"Hartelt et al., 2008",Baden-Wuerttemberg,Germany,No,NA,NA,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Lung  ,nested PCR,16SrDNA,A. phagocytophilum,218,1,0.00,No,Yes,No,NA,No,NA,No,,No birds
0111,"Hartelt et al., 2008",Baden-Wuerttemberg,Germany,No,NA,NA,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Lung  ,nested PCR,16SrDNA,A. phagocytophilum,32,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0112,"Hartelt et al., 2008",Baden-Wuerttemberg,Germany,No,NA,NA,Field vole,Microtus agrestis,Mammal,Scientific capturing,Lung  ,nested PCR,16SrDNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0113,"Hartelt et al., 2008",Baden-Wuerttemberg,Germany,No,NA,NA,Common vole,Microtus arvalis,Mammal,Scientific capturing,Lung  ,nested PCR,16SrDNA,A. phagocytophilum,97,6,0.06,No,Yes,No,NA,No,NA,No,,No birds
0114,"Hartelt et al., 2008",Baden-Wuerttemberg,Germany,No,NA,NA,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Lung  ,nested PCR,16SrDNA,A. phagocytophilum,149,20,0.13,No,Yes,No,NA,No,NA,No,,No birds
0115,"Hartelt et al., 2008",Baden-Wuerttemberg,Germany,No,NA,NA,Apodemus spp.,Apodemus spp.,Mammal,Scientific capturing,Lung  ,nested PCR,16SrDNA,A. phagocytophilum,9,0,0.00,NA,NA,No,NA,No,NA,Half,,No birds
0116,"Hartelt et al., 2008",Baden-Wuerttemberg,Germany,No,NA,NA,Microtus spp.,Microtus spp.,Mammal,Scientific capturing,Lung  ,nested PCR,16SrDNA,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,No,NA,Half,,No birds
0117,"Hildebrand et al., 2018","City of Kostrzyn on the Oder, Warta Mouth National Park (both in the Lubuskie Voivodeship), and the Ruszów Forest District (in the North-West part of Dolnośląskie Voivodeship)",Poland,No,NA,2016–2017,Raccoon dog,Nyctereutes procyonoides,Mammal,Hunted or killed in traffic accidents,Liver and spleen,PCR,16S rRNA,A. phagocytophilum,10,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0118,"Hildebrand et al., 2018","City of Kostrzyn on the Oder, Warta Mouth National Park (both in the Lubuskie Voivodeship), and the Ruszów Forest District (in the North-West part of Dolnośląskie Voivodeship)",Poland,No,NA,2016–2017,Raccoon,Procyon lotor,Mammal,Hunted or killed in traffic accidents,"Blood, spleen and liver",PCR,16S rRNA,A. phagocytophilum,78,1,0.01,1,Yes,No,NA,No,NA,No,"All animals were tested in spleen, 5 in liver and 18 in blood. Positive was in spleen.",No birds
0119,"Hildebrand et al., 2018",City of Kassel in northern Hesse and Müritz National Park in the south of Mecklenburg-Vorpommern,Germany,No,NA,2016–2017,Raccoon,Procyon lotor,Mammal,Hunted or killed in traffic accidents,Blood and Spleen,PCR,16S rRNA,A. phagocytophilum,40,0,0.00,NA,NA,No,NA,No,NA,No,"All animals were tested in spleen, 25 of them also in liver. ",No birds
0120,"Hodzic et al., 2018",Tyrol and Vorarlberg,Austria,No,NA,November 2013 and March 2015,Red fox,Vulpes vulpes,Mammal,NA,Spleen and blood,PCR,16S rRNA and groEL,A. phagocytophilum,506,3,0.01,No,Yes,No,NA,No,NA,No,"All tested in spleen, 351 in blood. None were positive in blood.",No birds
0121,"Hofmann-Lehmann et al., 2016",Cantons of Zürich and St Gallen,Switzerland,No,NA,2012-2014,Red fox,Vulpes vulpes,Mammal,Hunting,Blood,real-time PCR,16S rRNA,A. phagocytophilum,162,4,0.02,No,Yes,Yes,"95% CI: 0,7-6%",No,NA,No,,No birds
0122,"Hofmeester et al., 2018",The Netherlands and Flanders (Belgium),The Netherlands and Belgium,Yes,From forest to agricultural fields and urbanized areas,1995 - 2015,Beech marten,Martes foina,Mammal,Found dead,"Liver, spleen and ear",qPCR,msp2,A. phagocytophilum,68,1,0.01,No,Yes,No,NA,AF,"Hofmeester et al., (2018)",No,"67 liversamples, 26 spleensamples and 21 earsamples. Positives were found in liver, spleen and ear. Tested ticks came from 22 animals.",No birds
0123,"Hofmeester et al., 2018",The Netherlands,The Netherlands,No,From forest to agricultural fields and urbanized areas,1995 - 2015,European pine marten,Martes martes,Mammal,Found dead,"Liver, spleen and ear",qPCR,msp2,A. phagocytophilum,51,11,0.22,No,Yes,No,NA,AF,"Hofmeester et al., (2018)",No,"50 liversamples, 50 spleensamples and 26 earsamples. Postiives were found in liver, spleen and ear. Tested ticks came from 33 animals.",No birds
0124,"Hofmeester et al., 2018",The Netherlands and Flanders (Belgium),The Netherlands and Belgium,Yes,From forest to agricultural fields and urbanized areas,1995 - 2015,European badger,Meles meles,Mammal,Found dead,"Liver, spleen and ear",qPCR,msp2,A. phagocytophilum,114,2,0.02,No,Yes,No,NA,AF,"Hofmeester et al., (2018)",No,"113 liversamples, 11 spleensamples and 4 earsamples. Positives were found in liver and spleen. Tested ticks came from 5 animals.",No birds
0125,"Hofmeester et al., 2018",The Netherlands and Flanders (Belgium),The Netherlands and Belgium,Yes,From forest to agricultural fields and urbanized areas,1995 - 2015,European polecat,Mustela putorius,Mammal,Found dead,Liver and spleen,qPCR,msp2,A. phagocytophilum,556,27,0.05,1,Yes,No,NA,AF,"Hofmeester et al., (2018)",No,446 liversamples and 4 spleensamples. Positives were found in liver. Tested ticks came from 43 animals.,No birds
0126,"Hornok et al., 2014",Ócsa Bird Ringing Station,Hungary,No,NA,"2013: six days in April, five days in May and two days in June, as well as for four days at the end of August and the beginning of September","At least Wood warbler, Savi's warbler, Dunnock, Hawfinch, Common chiffchaff, Eurasian blackcap, Whitethroat, Sedge warbler, Eurasian reed warbler, Common blackbird, Redwing thrush, Song thrush, European robin, Tree pipit, Thrush nightingale and Common nightingale. But could also be more bird-species that are not mentioned in the paper.",NA,Bird,Scientific capturing,Blood,TaqMan PCR,msp2,A. phagocytophilum,128,1,0.01,No,Yes,No,NA,T+AF,"Hornok et al., (2014)",Yes,Positive animal is a redwing (T. iliacus). There were also 25 birds positive where the Anaplasmataceae could not be determined.,Migratory birds
0127,"Hornok et al., 2015",North-eastern and southern border of Hungary,Hungary,No,Farm buildings and houses,2011,Harvest mouse,Micromys minutus,Mammal,Scientific capturing,Spleen,real-time PCR,16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0128,"Hornok et al., 2015",North-eastern and southern border of Hungary,Hungary,No,Farm buildings and houses,2011,House mouse,Mus musculus,Mammal,Scientific capturing,Spleen,real-time PCR,16S rRNA,A. phagocytophilum,37,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0129,"Hornok et al., 2015",North-eastern and southern border of Hungary,Hungary,No,Farm buildings and houses,2011,Brown rat,Rattus norvegicus,Mammal,Scientific capturing,Spleen,real-time PCR,16S rRNA,A. phagocytophilum,14,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0130,"Hornok et al., 2018a","Budapest, Kisújszállás, Túrkeve, Kiskunlacháza, Hajdúböszörmény and Kelemér",Hungary,No,NA,February - October 2015,Long-eared owl,Asio otus,Bird,Sampling,Pellet,PCR,Msp2,A. phagocytophilum,91,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0131,"Hornok et al., 2018a",Budapest,Hungary,No,NA,February - October 2015,Common kestrel,Falco tinnunculus,Mammal,Sampling,Pellet,PCR,Msp2,A. phagocytophilum,12,1,0.08,No,No,No,NA,No,NA,No,,No birds
0132,"Hornok et al., 2018a",Budapest,Hungary,No,NA,February - October 2015,Tawny owl,Strix aluco,Bird,Sampling,Pellet,PCR,Msp2,A. phagocytophilum,5,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0133,"Hornok et al., 2018a",Szölösardó and Vizló,Hungary,No,NA,February - October 2015,Western barn owl,Tyto alba,Bird,Sampling,Pellet,PCR,Msp2,A. phagocytophilum,10,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
0134,"Hornok et al., 2018a",Hungary and The Netherlands,Hungary and The Netherlands,Yes,NA,May - September 2014,Barbastella spp. (bat),Barbastella spp.,Mammal,Sampling,Faeces,PCR,Msp2,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,No,NA,Half,,No birds
0135,"Hornok et al., 2018a",Hungary and The Netherlands,Hungary and The Netherlands,Yes,NA,May - September 2014,Miniopterus spp. (bat),Miniopterus spp.,Mammal,Sampling,Faeces,PCR,Msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,Half,,No birds
0136,"Hornok et al., 2018a",Hungary and The Netherlands,Hungary and The Netherlands,Yes,NA,May - September 2014,Myotis spp. (bat),Myotis spp.,Mammal,Sampling,Faeces,PCR,Msp2,A. phagocytophilum,135,0,0.00,NA,NA,No,NA,No,NA,Half,,No birds
0137,"Hornok et al., 2018a",Hungary and The Netherlands,Hungary and The Netherlands,Yes,NA,May - September 2014,Nyctalus spp. (bat),Nyctalus spp.,Mammal,Sampling,Faeces,PCR,Msp2,A. phagocytophilum,30,0,0.00,NA,NA,No,NA,No,NA,Half,,No birds
0138,"Hornok et al., 2018a",Hungary and The Netherlands,Hungary and The Netherlands,Yes,NA,May - September 2014,Pipistrellus spp. (bat),Pipistrellus spp.,Mammal,Sampling,Faeces,PCR,Msp2,A. phagocytophilum,18,0,0.00,NA,NA,No,NA,No,NA,Half,,No birds
0139,"Hornok et al., 2018a",Hungary and The Netherlands,Hungary and The Netherlands,Yes,NA,May - September 2014,Plectus spp. (bat),Plectus spp.,Mammal,Sampling,Faeces,PCR,Msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,Half,,No birds
0140,"Hornok et al., 2018a",Hungary and The Netherlands,Hungary and The Netherlands,Yes,NA,May - September 2014,Rhinolophus spp. (bat),Rhinolophus spp.,Mammal,Sampling,Faeces,PCR,Msp2,A. phagocytophilum,5,0,0.00,NA,NA,No,NA,No,NA,Half,,No birds
0141,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,TaqMan real-time PCR,Msp2,A. phagocytophilum,65,39,0.60,No,Yes,Yes,"95% CI: 47,1-72%",No,NA,No,,No birds
0142,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,TaqMan real-time PCR,Msp2,A. phagocytophilum,6,3,0.50,No,Yes,No,NA,No,NA,No,,No birds
0143,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,Red deer,Cervus elaphus,Mammal,Hunting,Blood,TaqMan real-time PCR,Msp2,A. phagocytophilum,48,47,0.98,No,Yes,Yes,"95% CI: 88,9-100%",No,NA,No,,No birds
0144,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,Red deer,Cervus elaphus,Mammal,Hunting,Spleen,TaqMan real-time PCR,Msp2,A. phagocytophilum,96,95,0.99,No,Yes,No,NA,No,NA,No,,No birds
0145,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,Fallow deer,Dama dama,Mammal,Hunting,Blood,TaqMan real-time PCR,Msp2,A. phagocytophilum,33,24,0.73,No,Yes,Yes,"95% CI: 54,5-86,7%",No,NA,No,,No birds
0146,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,Fallow deer,Dama dama,Mammal,Hunting,Spleen,TaqMan real-time PCR,Msp2,A. phagocytophilum,85,81,0.95,No,Yes,No,NA,No,NA,No,,No birds
0147,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,European mouflon,Ovis orientalis musimon,Mammal,Hunting,Blood,TaqMan real-time PCR,Msp2,A. phagocytophilum,16,1,0.06,No,Yes,Yes,"95% CI: 0,2-30,2%",No,NA,No,,No birds
0148,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,European mouflon,Ovis orientalis musimon,Mammal,Hunting,Spleen,TaqMan real-time PCR,Msp2,A. phagocytophilum,4,4,1.00,No,Yes,No,NA,No,NA,No,,No birds
0149,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,Wild boar,Sus scrofa,Mammal,Hunting,Blood,TaqMan real-time PCR,Msp2,A. phagocytophilum,17,6,0.35,No,Yes,Yes,"95% CI: 14,2-61,7%",No,NA,No,,No birds
0150,"Hornok et al., 2018b","South-western Hungary (46°15′-46°50’ N, 17°-17°50′ E)",Hungary,No,Forested region,January 2013 - December 2014,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,TaqMan real-time PCR,Msp2,A. phagocytophilum,79,31,0.39,No,Yes,Yes,"95% CI: 28,4-50,9%",No,NA,No,,No birds
0151,"Hornok et al., 2018c","Radius of 20km around Csurgó (46°15′23.6″N, 17°6′1″E)",Hungary,No,NA,2017,European badger,Meles meles,Mammal,Road kill,Blood,real-time PCR,Msp2,A. phagocytophilum,5,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0152,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Mallard,Anas platyrhynchos,Bird,Hunting,Muscle and heart,nested PCR,16S rRNA,E. phagocytophila & HE,10,1,0.10,No,Yes,No,NA,No,NA,No,,Resident birds
0153,"Hulinska et al., 2002",Moravia and a horse breeding farm,Czech Republic,No,NA,NA,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Hunting,Kidney and spleen,nested PCR,16S rRNA,E. phagocytophila & HE,25,2,0.08,No,Yes,No,NA,No,NA,No,,No birds
0154,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,European roe deer,Capreolus capreolus,Mammal,Hunting,Kidney and spleen,nested PCR,16S rRNA,E. phagocytophila & HE,39,6,0.15,No,Yes,No,NA,No,NA,No,,No birds
0155,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Red deer,Cervus elaphus,Mammal,Hunting,Kidney and spleen,nested PCR,16S rRNA,E. phagocytophila & HE,4,1,0.25,No,Yes,No,NA,No,NA,No,,No birds
0156,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Black-headed gull,Chroiceocephalus ridibundus,Bird,Hunting,Muscle and heart,nested PCR,16S rRNA,E. phagocytophila & HE,9,1,0.11,No,Yes,No,NA,No,NA,No,,Resident birds
0157,"Hulinska et al., 2002",Czech Republic,Czech Republic,No,NA,NA,Rook,Corvus frugilegus,Bird,Hunting,Muscle and heart,nested PCR,16S rRNA,E. phagocytophila & HE,10,0,0.00,NA,NA,No,NA,No,NA,No,,Resident birds
