Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Pathogen,Tick.hosts,Hosts.studied,Genospecies.identification,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BH,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Total.ticks.tested,Total.ticks.positive,Total.ticks.infection.prevalence,Data.collection,Double.ext
078,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Redwing thrush,Turdus iliacus,Bird,,Sequencing,B. burgdorferi s.l.,,,No,5,0,0.00,17,4,0.24,0,NA,NA,,,,,,No,,Migratory birds,,22,4,0.18,H,Yes
079,"Comstedt et al., 2006",Ottenby,Sweden,No,,"From March 17 to May 30, and from July 7 to November 13 of 2001",Fieldfare,Turdus pilaris,Bird,,Sequencing,B. burgdorferi s.l.,,,No,3,1,0.33,3,1,0.33,0,NA,NA,,,,,,No,,Migratory birds,,6,2,0.33,H,Yes
080,"Couper et al., 2010",South-West England,United Kingdom,No,,No moment of sampling mentioned,European roe deer,Capreolus capreolus,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,1,1.00,0,NA,NA,,,,,,No,,No birds,,1,1,1.00,H,Yes
081,"Craine et al., 1997",Dorset & Norfolk,United Kingdom,No,,"May-November 1991; February-November 1992, October-November 1991/2 and September 1992-July 1993",Eastern gray squirrel,Sciurus carolinensis,Mammal,,PCR & IFAT,B. burgdorferi s.l.,,,No,146,34,0.23,81,5,0.06,0,NA,NA,,,,,,No,,No birds,,227,39,0.17,H,Yes
082,"Craine et al., 1997",Dorset & Norfolk,United Kingdom,No,,"May-November 1991; February-November 1992, October-November 1991/2 and September 1992-July 1993",Common pheasant,Phasianus colchicus,Bird,,PCR & IFAT,B. burgdorferi s.l.,,,No,46,10,0.22,18,8,0.44,0,NA,NA,,,,,,No,,Resident birds,,64,18,0.28,H,Yes
083,"De Boer et al., 1993",The Netherlands,The Netherlands,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,Darkfield microscopy,B. burgdorferi s.l.,,,No,80,49,0.61,NA,NA,NA,NA,NA,NA,,,,,,No,50 larvae/animal,No birds,,80,49,0.61,H,Yes
084,"Dubska et al., 2009",Certak,Czech Republic,No,,,Eurasian treecreeper,Certhia familiaris,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,4,1,0.25,6,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,10,1,0.10,H,Yes
085,"Dubska et al., 2009",Certak,Czech Republic,No,,,European robin,Erithacus rubecula,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,226,2,0.01,55,NA,NA,0,NA,NA,,,,,,No,"1 nymph positive for B.afzelii, 1 for B.burgdorferi ss, 2 for B.garinii and 1 for B.valaisiana. Unkown how many coinfections.",Resident birds,,281,NA,NA,H,Yes
086,"Dubska et al., 2009",Certak,Czech Republic,No,,,Common grasshopperwarbler,Locustella naevia,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,5,0,0.00,5,1,0.20,0,NA,NA,,,,,,No,,Resident birds,,10,1,0.10,H,Yes
087,"Dubska et al., 2009",Certak,Czech Republic,No,,,Grey wagtail,Motacilla cinerea,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,1,1,1.00,9,NA,NA,0,NA,NA,,,,,,No,"2 nymphs positive for B.afzelii, 1 for B.garinii and 1 for B.valaisiana. Unclear how many coinfections.",Resident birds,,10,NA,NA,H,Yes
088,"Dubska et al., 2009",Certak,Czech Republic,No,,,Great tit,Parus major,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,135,NA,NA,33,NA,NA,0,NA,NA,,,,,,No,"1 larvae positive for B.afzelii, 20 for B.garinii and 5 for B.valaisiana. 4 nymphs positive for B.afzelii and 6 for B.garinii. Not clear how many coinfections.",Resident birds,,168,NA,NA,H,Yes
089,"Dubska et al., 2009",Certak,Czech Republic,No,,,Dunnock,Prunella modularis,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,252,NA,NA,167,NA,NA,0,NA,NA,,,,,,No,"5 larvae positive for B.garinii and 5 for B.valaisiana. 6 nymphs positive for B.afzelii, 1 for B.burgdorferi ss, 4 for B.garinii and 3 for B.valaisiana. Unknown how many coinfections.",Resident birds,,419,NA,NA,H,Yes
090,"Dubska et al., 2009",Certak,Czech Republic,No,,,Eurasian blackcap,Sylvia atricapilla,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,215,NA,NA,60,NA,NA,0,NA,NA,,,,,,No,1 larvae positive for B.garinii and 2 for B.valaisiana. 1 nymph positive for B.garinii and 1 for B.valaisiana. Unknown how many coinfections.,Resident birds,,275,NA,NA,H,Yes
091,"Dubska et al., 2009",Certak,Czech Republic,No,,,Whitethroat,Sylvia communis,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,18,0,0.00,11,NA,NA,0,NA,NA,,,,,,No,3 nymphs positive for B.afzelii and 1 for B.valaisiana. Unkown how many coinfections.,Resident birds,,29,NA,NA,H,Yes
092,"Dubska et al., 2009",Certak,Czech Republic,No,,,Eurasian wren,Troglodytes troglodytes,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,138,NA,NA,7,1,0.14,0,NA,NA,,,,,,No,"2 larvae positive for B.burgdorferi ss, 8 for B.garinii and 4 for B.valaisiana",Resident birds,,145,NA,NA,H,Yes
093,"Dubska et al., 2009",Certak,Czech Republic,No,,,Common blackbird,Turdus merula,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,384,NA,NA,189,NA,NA,0,NA,NA,,,,,,No,"206 larvae positive for B.garinii and 139 for B.valaisiana. 8 nymphs positive for B.afzelii, 2 for B.burgdorferi ss, 109 for B.garinii and 73 for B.valaisiana. Unknown how many coinfections.",Resident birds,,573,NA,NA,H,Yes
094,"Dubska et al., 2009",Certak,Czech Republic,No,,,Song thrush,Turdus philomelos,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,147,NA,NA,112,NA,NA,0,NA,NA,,,,,,No,"70 larvae positive for B.garinii and 33 for B.valaisiana. 2 nymphs positive for B.afzelii, 60 for B.garinii and 17 for B.valaisiana. Unknown how many coinfections.",Resident birds,,259,NA,NA,H,Yes
095,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Marsh warbler,Acrocephalus palustris,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,11,0,0.00,H,Yes
096,"Dubska et al., 2011",Certak,Czech Republic,No,,,Eurasian goldfinch,Carduelis carduelis,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
097,"Dubska et al., 2011",Certak,Czech Republic,No,,,European greenfinch,Carduelis chloris,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,0,NA,NA,3,1,0.33,NA,NA,NA,,,,,,No,,Resident birds,,3,1,0.33,H,Yes
098,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Common rosefinch,Carpodacus erythrinus,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,3,0,0.00,H,Yes
099,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Hawfinch,Coccothraustes coccothraustes,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,10,0,0.00,H,Yes
100,"Dubska et al., 2011",Certak,Czech Republic,No,,,Hawfinch,Coccothraustes coccothraustes,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,4,0,0.00,4,2,0.50,NA,NA,NA,,,,,,No,,Resident birds,,8,2,0.25,H,Yes
101,"Dubska et al., 2011",Certak,Czech Republic,No,,,Yellowhammer,Emberiza citrinella,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
102,"Dubska et al., 2011",Certak,Czech Republic,No,,,European robin,Erithacus rubecula,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,277,1,0.00,132,NA,NA,NA,NA,NA,,,,,,No,"6 nymphs positive for B.afzelii, 6 for B.garinii and 5 for B.valaisiana. Unknown number of coinfections.",Resident birds,,409,NA,NA,H,Yes
103,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Common chaffinch,Fringilla coelebs,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,9,0,0.00,H,Yes
104,"Dubska et al., 2011",Certak,Czech Republic,No,,,Common chaffinch,Fringilla coelebs,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,22,1,0.05,25,NA,NA,NA,NA,NA,,,,,,No,4 nymphs positive for B.afzelii and 3 for B.garinii. Unknown number of coinfections,Resident birds,,47,NA,NA,H,Yes
105,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Common grasshopperwarbler,Locustella naevia,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
106,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Grey wagtail,Motacilla cinerea,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,1,1,1.00,H,Yes
107,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Great tit,Parus major,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,10,2,0.20,H,Yes
108,"Dubska et al., 2011",Certak,Czech Republic,No,,,Great tit,Parus major,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,9,3,0.33,37,NA,NA,NA,NA,NA,,,,,,No,"3 nymphs positive for B.afzelii, 3 for B.garinii and 2 for B.valaisiana",Resident birds,,46,NA,NA,H,Yes
109,"Dubska et al., 2011",Certak,Czech Republic,No,,,Coal tit,Periparus ater,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,2,0,0.00,H,Yes
110,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Common redstart,Phoenicurus phoenicurus,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
111,"Dubska et al., 2011",Certak,Czech Republic,No,,,Common chiffchaff,Phylloscopus collybita,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,7,0,0.00,H,Yes
112,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Willow warbler,Phylloscopus trochilus,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
113,"Dubska et al., 2011",Certak,Czech Republic,No,,,Willow tit,Poecile montanus,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
114,"Dubska et al., 2011",Certak,Czech Republic,No,,,Dunnock,Prunella modularis,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,14,0,0.00,144,NA,NA,NA,NA,NA,,,,,,No,"14 nymphs positive for B.afzelii, 12 for B.garinii and 13 for B.valaisiana. Unknown number of coinfections.",Resident birds,,158,NA,NA,H,Yes
115,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Dunnock,Prunella modularis,Bird,,PCR-RLB,B. burgdorferi s.l.,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,2,0,0.00,H,Yes
116,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Eurasian bullfinch,Pyrrhula pyrrhula,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,4,0,0.00,H,Yes
117,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Whinchat,Saxicola rubetra,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,6,0,0.00,H,Yes
118,"Dubska et al., 2011",Certak,Czech Republic,No,,,Eurasian blackcap,Sylvia atricapilla,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,4,0,0.00,H,Yes
119,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Eurasian blackcap,Sylvia atricapilla,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,13,2,0.15,H,Yes
120,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Whitethroat,Sylvia communis,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,11,0,0.00,H,Yes
121,"Dubska et al., 2011",Certak,Czech Republic,No,,,Eurasian wren,Troglodytes troglodytes,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,5,0,0.00,4,NA,NA,NA,NA,NA,,,,,,No,1 nymph positive for B.garinii and 1 for B.valaisiana. Unknown number of coinfections.,Resident birds,,9,NA,NA,H,Yes
122,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Common blackbird,Turdus merula,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,1 tick was positive for B.garinii and 4 for B.valaisiana. Unknown number of coinfections.,Resident birds,,5,NA,NA,H,Yes
123,"Dubska et al., 2011",Certak,Czech Republic,No,,,Common blackbird,Turdus merula,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,49,NA,NA,215,NA,NA,NA,NA,NA,,,,,,No,"9 larvae positive for B.garinii and 26 for B.valaisiana. 8 nymphs positive for B.afzelii, 69 for B.garinii and 73 for B.valaisiana. Unknown number of coinfections.",Resident birds,,264,NA,NA,H,Yes
124,"Dubska et al., 2011",Certak,Czech Republic,No,,,Song thrush,Turdus philomelos,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,6,NA,NA,44,NA,NA,NA,NA,NA,,,,,,No,"1 larva positive for B.garinii and 2 for B.valaisiana. 1 nymph positive for B.afzelii, 12 for B.garinii and 13 for B.valaisiana. Unknown number of coinfections.",Resident birds,,50,NA,NA,H,Yes
125,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Song thrush,Turdus philomelos,Bird,,PCR-RLB,B. burgdorferi s.l.,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,2,0,0.00,H,Yes
126,"Dubska et al., 2011",Orlicke Zahori,Czech Republic,No,,,Fieldfare,Turdus pilaris,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,No,,Resident birds,,2,0,0.00,H,Yes
127,"Dubska et al., 2012",Mlada Boleslav,Czech Republic,No,,21 April - 23 August 2008,Common nightingale,Luscinia megarhynchos,Bird,,PCR-RLB,B. garinii,,,No,34,0,0.00,43,3,0.07,0,NA,NA,,,,,,No,,Migratory birds,,77,3,0.04,H,Yes
128,"Dumitrache et al., 2013",Romania,Romania,No,,April+May 2011-2012,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,158,0,0.00,530,3,0.01,271,1,0.00,,,,,,No,,No birds,,959,4,0.00,H,Yes
129,"Estrada-Pena et al., 1995",N-NE Spain,Spain,No,,Spring and autumn 1990-1992,"Common blackbird, Song thrush & European robin","Turdus merula, Turdus philomelos & Erithacus rubecula",Bird,,IFA,B. burgdorferi s.l.,,,No,0,NA,NA,140,72,0.51,0,NA,NA,,,,,,Yes,,Migratory birds,,140,72,0.51,H,Yes
130,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,Fallow deer,Dama dama,Mammal,Hunting,Mulitplex real-time PCR,B. burgdorferi s.l.,107,131,Yes,48,2,0.04,1067,50,0.05,665,73,0.11,57,Yes,"Infection prevalence (95% CI): larvae > 0.04 (0.00-0.10), nymphs > 0.05 (0.03-0.06), female > 0.09 (0.07-0.12), male > 0.18 (0.11-0.26)",T+BH,"Fabri et al., 2021",No,Adults include engorged females and non-engorged males,No birds,No,,,,L,Yes
131,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,Eurasian elk,Alces alces,Mammal,Hunting,Mulitplex real-time PCR,B. burgdorferi s.l.,15,15,Yes,1,0,0.00,5,0,0.00,181,14,0.08,8,Yes,"Infection prevalence (95% CI): female > 0.04 (0.00-0.11), male > 0.09 (0.04-0.14)",T+BH,"Fabri et al., 2021",No,Adults include engorged females and non-engorged males,No birds,No,,,,L,Yes
132,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,Red deer,Cervus elaphus,Mammal,Hunting,Mulitplex real-time PCR,B. burgdorferi s.l.,54,61,Yes,5,1,0.20,100,5,0.05,731,70,0.10,24,Yes,"Infection prevalence (95% CI): larvae > 0.20 (0.00-0.40), nymph > 0.05 (0.01-0.09), female > 0.06 (0.04-0.09), male > 0.15 (0.11-0.19)",T+BH,"Fabri et al., 2021",No,Adults include engorged females and non-engorged males,No birds,No,,,,L,Yes
133,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,European roe deer,Capreolus capreolus,Mammal,Hunting,Mulitplex real-time PCR,B. burgdorferi s.l.,28,30,Yes,2,0,0.00,130,6,0.05,230,20,0.09,13,Yes,"Infection prevalence (95% CI): nymph > 0.05 (0.02-0.09), female > 0.06 (0.02-0.10), male > 0.13 (0.05-0.21)",T+BH,"Fabri et al., 2021",No,Adults include engorged females and non-engorged males,No birds,No,,,,L,Yes
134,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,Wild boar,Sus scrofa,Mammal,Hunting,Mulitplex real-time PCR,B. burgdorferi s.l.,14,87,No,0,NA,NA,7,0,0.00,27,2,0.07,2,Yes,"Infection prevalence (95% CI): female > 0.08 (0.00-0.25), male > 0.07 (0.00-0.20)",T+BH,"Fabri et al., 2021",No,Adults include engorged females and non-engorged males,No birds,No,,,,L,Yes
135,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Common chaffinch,Fringilla coelebs,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,3,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,3,0,0.00,H,Yes
136,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Thrush nightingale,Luscinia luscinia,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,2,0,0.00,4,0,0.00,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,6,0,0.00,H,Yes
137,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Common redstart,Phoenicurus phoenicurus,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,1,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,2,0,0.00,H,Yes
138,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Song thrush,Turdus philomelos,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,2,0,0.00,16,1,0.06,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,18,1,0.06,H,Yes
139,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Marsh warbler,Acrocephalus palustris,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,1,1.00,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,1,1,1.00,H,Yes
140,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,European robin,Erithacus rubecula,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,38,8,0.21,41,2,0.05,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,79,10,0.13,H,Yes
141,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Great tit,Parus major,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,4,0,0.00,2,1,0.50,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,6,1,0.17,H,Yes
142,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Whitethroat,Sylvia communis,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,1,1.00,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,1,1,1.00,H,Yes
143,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Eurasian wren,Troglodytes troglodytes,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,0,NA,NA,2,1,0.50,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,2,1,0.50,H,Yes
144,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Redwing thrush,Turdus iliacus,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,4,1,0.25,44,7,0.16,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,48,8,0.17,H,Yes
145,"Franke et al., 2010",Greifswalder,Germany ,No,,March to May 2007,Common blackbird,Turdus merula,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,2,2,1.00,22,2,0.09,0,NA,NA,,,,,,No,"checked for s.s, afzelii, and garinii",Migratory birds,,24,4,0.17,H,Yes
146,"Galfsky et al., 2019","Leipzig, Saxony ",Germany ,No,"Around artifical lake, park","April-October 2015, May-November 2016, March-October 2017",Rodentia spp.,Rodentia spp.,Mammal,Scientific capturing,Real-time PCR,B. burgdorferi s.l.,25,163,No,0,NA,NA,53,6,0.11,0,NA,NA,NA,Yes,Infection prevalence nymphs 95% CI: 4.9-22.9%,T+BH,"Galfsky et al., 2019",Yes,Species: Apodemus flavicollis and Myodes glareolus. Larvae tested in pools,No birds,Yes,,,,L,No
149,"Geller et al., 2013",Estonia,Estonia,No,,August–October 2006-2009,Great tit,Parus major,Bird,,PCR,B. afzelii,,,No,0,NA,NA,14,3,0.21,0,NA,NA,,,,,,No,Not all species in list because only nymphs were tested,Migratory birds,,14,3,0.21,H,Yes
150,"Geller et al., 2013",Estonia,Estonia,No,,August–October 2006-2009,Common blackbird,Turdus merula,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,29,8,0.28,0,NA,NA,,,,,,No,Not all species in list because only nymphs were tested,Migratory birds,,29,8,0.28,H,Yes
151,"Gern et al., 1994",Switzerland,Switzerland,No,,October 1988,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,Fluorescent microscopy,B. burgdorferi s.l.,,,No,726,381,0.52,0,NA,NA,0,NA,NA,,,,,,No,Larvae were tested as derived nymphs,No birds,,726,381,0.52,H,Yes
152,"Gern et al., 1994",Switzerland,Switzerland,No,,October 1988,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,Fluorescent microscopy,B. burgdorferi s.l.,,,No,528,243,0.46,0,NA,NA,0,NA,NA,,,,,,No,Larvae were tested as derived nymphs,No birds,,528,243,0.46,H,Yes
153,"Gern et al., 1997",Switzerland,Switzerland,No,,September 1993 and March-August 1994,Western European hedgehog,Erinaceus europaeus,Mammal,,DIF,B. burgdorferi s.l.,,,No,299,74,0.25,50,17,0.34,7,3,0.43,,,,,,No,Only field derived larvae in the list (not xeno),No birds,,356,94,0.26,H,Yes
154,"Gray et al., 1994",Galway county,Ireland,No,,June ,Western European hedgehog,Erinaceus europaeus,Mammal,,IFA,B. burgdorferi s.l.,,,No,125,44,0.35,93,23,0.25,44,29,0.66,,,,,,No,Only field derived larvae in the list (not xeno),No birds,,262,96,0.37,H,Yes
155,"Grech-Angelini et al., 2020",Corsica ,France ,No,NA,May 2014 - May 2015,Red deer,Cervus elaphus,Mammal,Hunting,Real-time PCR,Borellia spp. ,1,1,NA,0,NA,NA,0,NA,NA,13,0,0.00,NA,No,NA,No,NA,No,,No birds,No,,,,L,No
156,"Grech-Angelini et al., 2020",Corsica ,France ,No,NA,May 2014 - May 2015,European greenfinch,Carduelis chloris,Bird,Hunting,Real-time PCR,Borellia spp. ,NA,3,NA,0,NA,NA,0,NA,NA,2,0,0.00,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
157,"Grech-Angelini et al., 2020",Corsica ,France ,No,NA,August 2014 - February 2015,Wild boar,Sus scrofa,Mammal,Hunting,Real-time PCR,Borellia spp. ,1,NA,NA,0,NA,NA,0,NA,NA,1,0,0.00,NA,No,NA,No,NA,No,,No birds,No,,,,L,No
158,"Gryczynska et al., 2016","Mazurian Lake region (53°47’N, 21°34’E)",Poland,No,Forest,"June 1996-1997, 2005-2006, 2011-2012",Common blackbird,Turdus merula,Bird,Scientific capturing,Nested PCR,B. burgdorferi s.l. ,70,78,Yes,131,4,0.03,492,57,0.12,0,NA,NA,24,No,NA,No,NA,No,,Resident birds,No,,,,L,No
159,"Gryczynska et al., 2018","Mazurian Lake region (53°47’N, 21°34’E) and “Morysin Nature Reserve” (52°12’N, 21°02’E)",Poland,No,Forest and urban,June + July 2016,Common blackbird,Turdus merula,Bird,Scientific capturing,PCR,Borreliella spp. ,20,22,No,17,5,0.29,46,19,0.41,0,NA,NA,8,No,NA,No,NA,No,,Resident birds,No,,,,L,No
160,"Gryczynska et al., 2019","Mazurian Lake region (53°47’N, 21°34’E)",Poland,No,Forest,NA,Common blackbird,Turdus merula,Bird,Scientific capturing,Nested PCR,Borreliella spp. ,23,26,No,10,4,0.40,110,55,0.50,0,NA,NA,15,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
