Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Hosts.studied,Host.infested,Infestation.prevalence,Total.ticks,Mean.abundance,Stages,Larvae.on.hosts,Mean.larval.abundance,Hosts.infested.with.larvae,Nymphs.on.hosts,Mean.nymphal.abundance,Host.infested.with.nymphs,Adults.on.hosts,Mean.adult.abundance,Host.infested.with.adults,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.AF.AH,Same.ref.AH.AF,Same.animals.BH.BF,Same.ref.BH.BF,Multiple.species,Notes,Birds,Additional.data.email,Data.collection,Double.ext
0239,"Comstedt et al., 2006","Ottenby, Öland Island, (56°12′N, 16°24′E)",Sweden,No,NA,"March 17 - May 30, and July 7 - November 13 of 2001",Garden warbler,Sylvia borin,Bird,Scientific capturing,194,1,0.01,1,0.01,Yes,0,0.00,NA,1,0.01,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0240,"Comstedt et al., 2006","Ottenby, Öland Island, (56°12′N, 16°24′E)",Sweden,No,NA,"March 17 - May 30, and July 7 - November 13 of 2001",Whitethroat,Sylvia communis,Bird,Scientific capturing,220,18,0.08,47,0.21,Yes,29,0.13,NA,18,0.08,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0241,"Comstedt et al., 2006","Ottenby, Öland Island, (56°12′N, 16°24′E)",Sweden,No,NA,"March 17 - May 30, and July 7 - November 13 of 2001",Lesser whitethroat,Sylvia curruca,Bird,Scientific capturing,621,8,0.01,11,0.02,Yes,4,0.01,NA,7,0.01,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0242,"Comstedt et al., 2006","Ottenby, Öland Island, (56°12′N, 16°24′E)",Sweden,No,NA,"March 17 - May 30, and July 7 - November 13 of 2001",Barred warbler,Sylvia nisoria,Bird,Scientific capturing,13,3,0.23,4,0.31,Yes,1,0.08,NA,3,0.23,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0243,"Comstedt et al., 2006","Ottenby, Öland Island, (56°12′N, 16°24′E)",Sweden,No,NA,"March 17 - May 30, and July 7 - November 13 of 2001",Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,500,17,0.03,33,0.07,Yes,25,0.05,NA,8,0.02,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0244,"Comstedt et al., 2006","Ottenby, Öland Island, (56°12′N, 16°24′E)",Sweden,No,NA,"March 17 - May 30, and July 7 - November 13 of 2001",Redwing thrush,Turdus iliacus,Bird,Scientific capturing,51,9,0.18,22,0.43,Yes,5,0.10,NA,17,0.33,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0245,"Comstedt et al., 2006","Ottenby, Öland Island, (56°12′N, 16°24′E)",Sweden,No,NA,"March 17 - May 30, and July 7 - November 13 of 2001",Common blackbird,Turdus merula,Bird,Scientific capturing,193,44,0.23,170,0.88,Yes,36,0.19,NA,134,0.69,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0246,"Comstedt et al., 2006","Ottenby, Öland Island, (56°12′N, 16°24′E)",Sweden,No,NA,"March 17 - May 30, and July 7 - November 13 of 2001",Song thrush,Turdus philomelos,Bird,Scientific capturing,261,24,0.09,141,0.54,Yes,88,0.34,NA,53,0.20,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0247,"Comstedt et al., 2006","Ottenby, Öland Island, (56°12′N, 16°24′E)",Sweden,No,NA,"March 17 - May 30, and July 7 - November 13 of 2001",Fieldfare,Turdus pilaris,Bird,Scientific capturing,23,3,0.13,6,0.26,Yes,3,0.13,NA,3,0.13,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0248,"Cull et al., 2017","Wiltshire/Hampshire border, (coordinates 51.158, -1.656)",UK,No,"Woodland was dominated by oak (Quercus robur) and ash (Fraxinus excelsior), with frequent beech (Fagus sylvatica), and a dense understory at the woodland edge of holly (Ulex europeaus), hawthorn (Crataegus monogyna), bramble (Rubus fruticosus ag.), and hazel (Corylus avellana).",1 April - 16 November 2010,"Long-tailed field mouse, Yellow-necked field mouse and Bank vole",NA,Mammal,Scientific capturing,217,NA,NA,929,4.28,Yes,921,4.24,NA,7,0.03,NA,1,0.00,NA,No,NA,No,NA,,,Yes,,No birds,,F,Yes
0249,"Cull et al., 2017","Wiltshire/Hampshire border (51.158, -1.656)",England,No,"Woodland (oak, ash, beech, hawthorn, bramble, hazel",April-November 2010,Bank vole,Myodes glareolus,Mammal,Scientific capturing,26,NA,NA,67,2.58,Yes,65,2.50,NA,2,0.08,NA,0,0.00,NA,No,NA,,,No,NA,No,,No birds,Yes,L,No
0250,"Cull et al., 2017","Wiltshire/Hampshire border (51.158, -1.656)",England,No,"Woodland (oak, ash, beech, hawthorn, bramble, hazel",April-November 2010,Common shrew,Sorex araneus,Mammal,Scientific capturing,1,NA,NA,5,5.00,Yes,5,5.00,NA,0,0.00,NA,0,0.00,NA,No,NA,,,No,NA,No,,No birds,Yes,L,No
0251,"Cull et al., 2017","Wiltshire/Hampshire border (51.158, -1.656)",England,No,"Woodland (oak, ash, beech, hawthorn, bramble, hazel",April-November 2010,Wood mouse,Apodemus sylvaticus,Mammal,Scientific capturing,84,NA,NA,302,3.60,Yes,299,3.56,NA,3,0.04,NA,0,0.00,NA,No,NA,,,No,NA,No,,No birds,Yes,L,No
0252,"Cull et al., 2017","Wiltshire/Hampshire border (51.158, -1.656)",England,No,"Woodland (oak, ash, beech, hawthorn, bramble, hazel",April-November 2010,Yellow-necked mouse,Apodemus flavicollis,Mammal,Scientific capturing,127,NA,NA,664,5.23,Yes,661,5.20,NA,2,0.02,NA,1,0.01,NA,No,NA,,,No,NA,No,,No birds,Yes,L,No
0253,"Dantas-Torres et al., 2011","Parco Regionale Gallipoli Cognato Piccole Dolomiti Lucane, region of Basilicata",Italy,No,Woods and forested areas crossed by rivers and streams,2009 September,Corsican hare,Lepus corsicanus,Mammal,Scientific capturing,17,17,1.00,119,7.00,Yes,2,0.12,NA,45,2.65,NA,72,4.24,NA,Yes,"Infestation prevalence 95% CI: 80,5-100%",No,NA,,,No,,No birds,,F,Yes
0254,"De Boer et al., 1993","Texel, Gaasterland and Eindhoven airport",The Netherlands,No,Mixed coniferous and deciduous forest,Spring and summer (years unknown),Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,170,NA,NA,78,0.46,No,NA,NA,NA,78,0.46,32,0,0.00,0,No,NA,No,NA,,,No,,No birds,,F,Yes
0255,"De Pelsmaeker et al., 2020",Lifjell and Erdal,Norway,No,Coniferous and deciduous forest ,"May, July and September 2017-2018",Bank vole,Myodes glareolus,Mammal,Scientific capturing,1318,NA,NA,NA,NA,No,4735,3.59,620,NA,NA,NA,NA,NA,NA,No,NA,,,No,NA,No,,No birds,No,L,No
0256,"Diaz et al., 2019",Galicia,Spain,No,Plateau and mountainous area,April-October ,Roe deer,Capreolus capreolus,Mammal,Hunting,170,170,1.00,8885,52.26,Yes,655,3.85,NA,2440,14.35,NA,5790,34.06,NA,Yes,"Mean (SD): Larval > 9,6 (27,8); nymph > 20,5 (7,5); adult male > 10,8 (11,5); adult female > 25,5 (23,0)",,,No,NA,No,,No birds,No,L,No
0257,"Dubska et al., 2011","Certak (49°34 N, 17°59 E)",Czech Republic,No,NA,31 March - 28 April 2007,European greenfinch,Carduelis chloris,Bird,Scientific capturing,1,1,1.00,3,3.00,Yes,0,0.00,NA,3,3.00,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0258,"Dubska et al., 2011","Certak (49°34 N, 17°59 E)",Czech Republic,No,NA,31 March - 28 April 2007,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,11,4,0.36,8,0.73,Yes,4,0.36,NA,4,0.36,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0259,"Dubska et al., 2011","Certak (49°34 N, 17°59 E)",Czech Republic,No,NA,31 March - 28 April 2007,European robin,Erithacus rubecula,Bird,Scientific capturing,328,146,0.45,409,1.25,Yes,277,0.84,NA,132,0.40,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0260,"Dubska et al., 2011","Certak (49°34 N, 17°59 E)",Czech Republic,No,NA,31 March - 28 April 2007,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,43,15,0.35,47,1.09,Yes,22,0.51,NA,25,0.58,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0261,"Dubska et al., 2011","Certak (49°34 N, 17°59 E)",Czech Republic,No,NA,31 March - 28 April 2007,Great tit,Parus major,Bird,Scientific capturing,56,19,0.34,46,0.82,Yes,9,0.16,NA,37,0.66,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0262,"Dubska et al., 2011","Certak (49°34 N, 17°59 E)",Czech Republic,No,NA,31 March - 28 April 2007,Dunnock,Prunella modularis,Bird,Scientific capturing,29,27,0.93,158,5.45,Yes,14,0.48,NA,144,4.97,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0263,"Dubska et al., 2011","Certak (49°34 N, 17°59 E)",Czech Republic,No,NA,31 March - 28 April 2007,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,11,6,0.55,9,0.82,Yes,5,0.45,NA,4,0.36,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0264,"Dubska et al., 2011","Certak (49°34 N, 17°59 E)",Czech Republic,No,NA,31 March - 28 April 2007,Common blackbird,Turdus merula,Bird,Scientific capturing,32,29,0.91,266,8.31,Yes,49,1.53,NA,215,6.72,NA,2,0.06,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0265,"Dubska et al., 2011","Certak (49°34 N, 17°59 E)",Czech Republic,No,NA,31 March - 28 April 2007,Song thrush,Turdus philomelos,Bird,Scientific capturing,20,15,0.75,50,2.50,Yes,6,0.30,NA,44,2.20,NA,0,0.00,NA,No,NA,No,NA,,,No,,Migratory birds,,F,Yes
0266,"Dubska et al., 2012","Mlada Boleslav (14◦54'E, 50◦25'N)",Czech Republic,No,NA,21 April to 23 August 2008,Common nightingale,Luscinia megarhynchos,Bird,Scientific capturing,120,33,0.28,77,0.64,Yes,34,0.28,NA,43,0.36,NA,0,0.00,NA,No,NA,AF,"Dubska et al., (2012)",,,No,,Resident birds,,F,Yes
0267,"Dumitrache et al., 2013",Romania,Romania,No,NA,April and May 2011 and 2012,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,Scientific capturing,57,24,0.42,959,16.82,Yes,158,2.77,NA,530,9.30,NA,271,4.75,NA,Yes,"Larvae: 95% CI: 0,7-6,4%; Nymphs: 95% CI: 15,9-22,7%; Females: 95% CI: 1,4-6,8%; Males: 95% CI: 1,0-13,5%",AF,"Dumitrache et al., (2013)",,,No,,No birds,,F,Yes
0268,"Egyed et al., 2020",Lakhegy,Hungary,No,Abandoned plumb tree plantation,20-25th of July and 5-10th of August 2014-2016,Rodents ,NA,Mammal,Scientific capturing,282,NA,NA,1322,4.69,Yes,1288,4.57,NA,34,0.12,NA,0,0.00,NA,No,NA,,,No,NA,Yes,"Species: Apodemus flavicollis, Apodemus agrarius, Myodes glareolus. ",No birds,No,L,No
0269,"Ekner et al., 2011","Barycz valley (51°34’N, 17°40’E)",Poland,No,"Intensively farmed land with a varied mosaic of arable fields, meadows, small woodlots and scattered trees and shrubs of different ages, dominated by white willow Salix fragilis, silver birch Betula pendula, black poplar Populus nigra and pine Pinus silvestris. It contains both dry sandy areas and moist areas.",March - September in 2008 and 2009,Sand lizard,Lacerta agilis,Reptile,Scientific capturing,171,69,0.40,290,1.70,Yes,114,0.67,NA,176,1.03,NA,0,0.00,NA,Yes,"Infestation prevalence 95% CI: 32,9-48,1%",No,NA,,,No,,No birds,,F,Yes
0270,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,230,NA,NA,815,3.54,Yes,815,3.54,80,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,No birds,,F,Yes
0271,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Eurasian goldfinch,Carduelis carduelis,Bird,Scientific capturing,77,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0272,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,White-throated dipper,Cinclus cinclus,Bird,Scientific capturing,3,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0273,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,European robin,Erithacus rubecula,Bird,Scientific capturing,192,NA,NA,246,1.28,Yes,246,1.28,6,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0274,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,96,NA,NA,218,2.27,Yes,218,2.27,6,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0275,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,White wagtail,Motacilla alba,Bird,Scientific capturing,5,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0276,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Grey wagtail,Motacilla cinerea,Bird,Scientific capturing,7,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0277,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Spotted flycatcher,Muscicapa striata,Bird,Scientific capturing,4,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0278,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Bank vole,Myodes glareolus,Mammal,Scientific capturing,99,NA,NA,1271,12.84,Yes,1271,12.84,96,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,No birds,,F,Yes
0279,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Turdus spp.,Turdus spp,Bird,Scientific capturing,116,NA,NA,404,3.48,Yes,189,1.63,43,215,1.86,26,0,0.00,0,No,NA,No,NA,,,Half,,Resident birds,,F,Yes
0280,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Great tit,Parus major,Bird,Scientific capturing,30,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0281,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Coal tit,Periparus ater,Bird,Scientific capturing,25,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0282,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,16,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0283,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Dunnock,Prunella modularis,Bird,Scientific capturing,6,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0284,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Common stonechat,Saxicola torquatus,Bird,Scientific capturing,8,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0285,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,8,NA,NA,0,0.00,Yes,0,0.00,0,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0286,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Common blackbird,Turdus merula,Bird,Scientific capturing,143,NA,NA,792,5.54,Yes,463,3.24,114,329,2.30,19,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0287,"Estrada-Pena et al., 2005",Rioja region,Spain,No,"Phytogeographically heterogeneous region composed mainly of patches of Quercus robur and Q. faginea, with small areas of Q. petraea. There are also small sites with Fagus sylvatica and patches of Pinus spp., interspersed with patches of natural grass. Secondary vegetation included Ilex aquifolium, Pteridium aquilinum and Rubus sp.",May - June and August-September in 1998 and 1999,Song thrush,Turdus philomelos,Bird,Scientific capturing,130,NA,NA,632,4.86,Yes,416,3.20,83,216,1.66,19,0,0.00,0,No,NA,No,NA,,,No,,Resident birds,,F,Yes
0288,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,Fallow deer,Dama dama,Mammal,Hunting,93,88,0.95,1629,17.52,Yes,42,0.45,18,1015,10.91,81,572,6.15,82,No,NA,,,BH+BF,"Fabri et al., 2021",No,,No birds,No,L,No
0289,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,Moose,Alces alces,Mammal,Hunting,10,10,1.00,94,9.40,Yes,0,0.00,0,2,0.20,2,92,9.20,10,No,NA,,,BH+BF,"Fabri et al., 2021",No,,No birds,No,L,No
0290,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,Red deer,Cervus elaphus,Mammal,Hunting,50,47,0.94,691,13.82,Yes,3,0.06,1,88,1.76,17,600,12.00,45,No,NA,,,BH+BF,"Fabri et al., 2021",No,,No birds,No,L,No
0291,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,Roe deer ,Capreolus capreolus,Mammal,Hunting,26,24,0.92,329,12.65,Yes,7,0.27,3,122,4.69,19,200,7.69,23,No,NA,,,BH+BF,"Fabri et al., 2021",No,,No birds,No,L,No
0292,"Fabri et al., 2021","Södermanland, the southernmost part of Stockholm county and the western part of Östergötland",Sweden ,No,"Forests with Scots pine, Norway spruce, birch, European oak and interspersed with agriculture lands",October 2018 and October-November 2019,Wild boar ,Sus scrofa,Mammal,Hunting,82,13,0.16,23,0.28,Yes,0,0.00,0,6,0.07,6,17,0.21,8,No,NA,,,BH+BF,"Fabri et al., 2021",No,,No birds,No,L,No
0293,"Foldvari et al., 2009","Gödöllö (N47°57', E19°33')",Hungary,No,"Mosaic of meadows, arable fields, planted wood mostly black locust (Robinia pseudacacia), and scrubland. Scrublands consist of common hawthorn (Crataegus monogyna), blackthorn (Prunus spinosa), and dog rose (Rosa canina). Meadows are dominated by xerophilic grasses (e.g., Festuca spp., Dactylis glomerata, Calamagrostis epigeios, and Stipa spp.).",April - September in 2007 and 2008,Sand lizard,Lacerta agilis,Reptile,Scientific capturing,20,7,0.35,20,1.00,Yes,7,0.35,NA,13,0.65,NA,0,0.00,NA,No,NA,No,NA,,,No,,No birds,,F,Yes
0294,"Foldvari et al., 2009","Gödöllö (N47°57', E19°33')",Hungary,No,"Mosaic of meadows, arable fields, planted wood mostly black locust (Robinia pseudacacia), and scrubland. Scrublands consist of common hawthorn (Crataegus monogyna), blackthorn (Prunus spinosa), and dog rose (Rosa canina). Meadows are dominated by xerophilic grasses (e.g., Festuca spp., Dactylis glomerata, Calamagrostis epigeios, and Stipa spp.).",April - September in 2007 and 2008,European green lizard,Lacerta viridis,Reptile,Scientific capturing,126,66,0.52,397,3.15,Yes,267,2.12,NA,130,1.03,NA,0,0.00,NA,No,NA,No,NA,,,No,,No birds,,F,Yes
0295,"Foldvari et al., 2009","Gödöllö (N47°57', E19°33')",Hungary,No,"Mosaic of meadows, arable fields, planted wood mostly black locust (Robinia pseudacacia), and scrubland. Scrublands consist of common hawthorn (Crataegus monogyna), blackthorn (Prunus spinosa), and dog rose (Rosa canina). Meadows are dominated by xerophilic grasses (e.g., Festuca spp., Dactylis glomerata, Calamagrostis epigeios, and Stipa spp.).",April - September in 2007 and 2008,Balkan wall lizard,Podarcis taurica,Reptile,Scientific capturing,40,14,0.35,55,1.38,Yes,50,1.25,NA,5,0.13,NA,0,0.00,NA,No,NA,No,NA,,,No,,No birds,,F,Yes
0296,"Foldvari et al., 2011","Margaret Island, Budapest",Hungary,No,Urban park,May - October 2009 and March - November 2010,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,Scientific capturing,247,191,0.77,4746,NA,No,NA,NA,NA,2204,8.92,NA,2542,10.29,NA,No,NA,No,NA,,,No,,No birds,,F,Yes
0297,Frank et al. 2015,Martinskirche in Gladenbach (Hesse),Germany,No,Church roof,July 21 in 2012,Mouse-eared myotis,Myotis myotis,Mammal,Found dead (natural causes),30,1,0.03,1,0.03,Yes,1,0.03,1,0,0.00,0,0,0.00,0,No,NA,No,NA,,,No,,No birds,,F,Yes
0298,"Galfsky et al., 2019","Leipzig, Saxony ",Germany ,No,"Around artifical lake, park","April-October 2015, May-November 2016, March-October 2017",Rodents,NA,Mammal,Scientific capturing,164,122,0.74,1164,7.10,Yes,1090,6.65,NA,74,0.45,NA,0,0.00,NA,No,NA,,,BH+BF,"Galfsky et al., 2019",Yes,"Species: Apodemus flavicollis, Apodemus agrarius, Myodes glareolus",No birds,No,L,No
0299,"Galfsky et al., 2019","Leipzig, Saxony ",Germany,No,"Around artifical lake, park","April-October 2015, May-November 2016, March-October 2017",European water vole,Arvicola terrestris,Mammal,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,,,BH+BF,"Galfsky et al., 2019",No,,No birds,No,L,No
0300,"Gassner et al., 2008","Oostereng, Renkum",The Netherlands,No,Mixed woodlands (deciduous and evergreen) and pasture,June 2005,Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing,3,NA,NA,0,0.00,No,0,0.00,NA,NA,NA,NA,0,0.00,NA,No,NA,No,NA,,,No,,No birds,,F,Yes
